name,price,rating
Jérémy To,500,79
Thiago Motta,500,81
Andrej Kramarić,500,81
Dante,600,81
Romain Thomas,700,80
Mexer,700,79
Konstantinos Mitroglou,700,81
Jemerson,700,80
Carlos Bacca,800,82
Luiz Gustavo,900,80
Youri Tielemans,900,80
Salomon Kalou,900,80
Nabil Bentaleb,900,80
Layvin Kurzawa,900,80
Stevan Jovetić,1000,81
Raffael,1000,82
Lars Bender,1000,82
Roque Mesa,1000,82
Valère Germain,1000,80
Franco Vázquez,1000,82
Adil Rami,1000,81
Granit Xhaka,1000,82
Wesley Sneijder,1000,83
Islam Slimani,1000,82
Per Mertesacker,1000,81
Dejan Lovren,1000,81
Ashley Williams,1000,82
Iborra,1000,82
Florian Thauvin,1100,82
Yoann Gourcuff,1200,79
Marcelo Brozović,1200,81
Patrice Evra,1300,81
João Moutinho,1300,82
Raphaël Guerreiro,1300,81
Camacho,1300,81
Max Kruse,1300,82
Julian Weigl,1300,81
Christian Benteke,1400,81
Shinji Kagawa,1400,83
Olivier Giroud,1500,82
Lucas Vázquez,1500,82
Suso,1500,82
Sebastian Rudy,1500,81
Willian Jose,1500,82
Adrien Rabiot,1500,80
Sven Bender,1700,80
Hatem Ben Arfa,1700,81
Mario Gómez,1700,82
Ezequiel Garay,1800,83
Lars Stindl,1800,82
Mamadou Sakho,1800,81
Rafael,2000,79
Grzegorz Krychowiak,2000,81
Éver Banega,2000,83
Aaron Ramsey,2000,82
Falcao,2000,84
Thomas Meunier,2000,81
John Brooks,2000,80
Andreas Christensen,2000,81
Benedikt Höwedes,2000,83
Steven N'Zonzi,2000,83
Víctor Ruíz,2000,82
Borja Valero,2000,83
Mario Götze,2000,81
Kevin Kampl,2000,81
Leighton Baines,2000,82
Séamus Coleman,2200,81
Morgan Schneiderlin,2300,83
Javier Hernández,2300,82
Lucas,2300,82
Javier Pastore,2400,83
Loïc Perrin,2400,83
Ricardo Rodríguez,2400,81
Javier Mascherano,2500,83
Stephan Lichtsteiner,2500,82
Raúl Albiol,2500,82
Nicolás Gaitán,2500,83
Federico Fazio,2500,82
Djibril Sidibé,2500,79
Jack Wilshere,2500,81
Aduriz,2500,84
Joshua Kimmich,2500,81
Mario Mandžukić,2500,83
Lucas Biglia,2500,83
Bartra,2800,81
Eric Dier,2900,82
Emil Forsberg,2900,83
Wilfried Zaha,2900,81
Dimitri Payet,2900,84
Juanfran,3000,83
Francesco Acerbi,3000,82
Arda Turan,3000,82
Gonzalo Castro,3000,82
Xherdan Shaqiri,3000,82
Iago Aspas,3000,83
Daniel Sturridge,3000,82
Stefan de Vrij,3000,83
Nicolás Otamendi,3000,83
Gary Cahill,3000,84
Bernardo Silva,3200,84
Marquinhos,3200,83
Davy Klaassen,3300,82
Nani,3500,83
Nabil Fekir,3500,82
Mauro Icardi,3500,84
Niklas Süle,3500,83
Naldo,3500,82
Gylfi Sigurðsson,3500,82
Mario Balotelli,3500,82
Riyad Mahrez,3500,83
Malcom,3500,79
Bruno,3500,84
Edin Džeko,3500,84
Victor Wanyama,3500,82
Memphis Depay,3500,80
Marko Arnautović,3700,82
Joel Matip,3700,83
Julian Draxler,3700,84
Ömer Toprak,3700,83
Pedro,3800,84
Kevin Vogt,3800,80
Santi Cazorla,3900,83
Vitolo,4000,83
Ross Barkley,4000,81
Jorginho,4000,81
Ciro Immobile,4000,82
Manu Trigueros,4000,82
Mateo Musacchio,4000,83
Fabinho,4000,83
Kamil Glik,4000,85
Kevin Mirallas,4200,81
Bruma,4200,81
Davinson Sánchez,4300,81
Manuel Lanzini,4400,81
Keita Baldé Diao,4400,82
Jonathan Tah,4500,82
Morgan Sanson,4500,81
João Mário,4500,83
Jean Michaël Seri,4600,82
Wayne Rooney,4700,81
Nathaniel Clyne,4800,82
José María Giménez,5000,83
Juan Mata,5000,84
Daniele De Rossi,5000,83
José Callejón,5000,83
Shkodran Mustafi,5000,84
Marcos Alonso,5200,81
Jordan Henderson,5300,82
Marcos Rojo,5500,82
Naby Keïta,5500,83
Karim Bellarabi,5500,82
Saúl,5500,82
Thomas Lemar,6000,83
Aymeric Laporte,6000,84
Kevin Strootman,6000,84
Danny Rose,6400,82
Dani Alves,6500,84
Serge Aurier,7000,81
Ivan Perišić,7000,84
Chris Smalling,7000,81
Beñat,7500,82
Medhi Benatia,7500,84
Federico Bernardeschi,7500,82
Giacomo Bonaventura,9000,83
Sami Khedira,9000,84
Fernandinho,9000,82
Andriy Yarmolenko,9500,81
Carvajal,10000,84
Nemanja Matić,11000,83
Idrissa Gueye,11000,83
Adam Lallana,12000,83
Koke,12000,84
Kalidou Koulibaly,13500,84
Marco Verratti,14000,87
Raheem Sterling,14000,82
Kévin Gameiro,14000,83
Antonio Rüdiger,14000,82
